# 検索で拾った候補。ここは間違いが混ざっていてよい。
# x_posts.py verify が oEmbed で実在・投稿者・本文を確かめ、
# 通ったものだけ x_posts.tsv に、怪しいものは _review_x.tsv に振り分ける。
cid	vid	character	status_url	match	note
c30139	v11179	不知火 七海	https://x.com/norn9_anime/status/684648643157045248	手入力	紹介らしい ｜ 【キャラ紹介】不知火七海（CV瀬戸麻沙美）「……私が……あの人の大切なものを奪ったから」自分の感情を表に出したり意志を表
c30140	v11179	結賀 駆	https://x.com/norn9_anime/status/685007804860530688	手入力	紹介らしい ｜ 【キャラ紹介】結賀 駆（CV梶 裕貴）「純粋で…、俺とは正反対すぎて、びっくりするよ」頭の回転が早くリーダーシップにあふ
c30141	v11179	市ノ瀬 千里	https://x.com/norn9_anime/status/681441455580168192	手入力	紹介らしい ｜ 【キャラ紹介】市ノ瀬千里（CV下野 紘）「僕らはいずれ……敵同士になる」周囲の大人たちから邪険に扱われてきた過去があり、
c30367	v11179	遠矢 正宗	https://x.com/norn9_anime/status/683959260850466817	手入力	紹介らしい ｜ 【キャラ紹介】遠矢正宗（CV佐藤拓也）「そうならないために世界は動いているんだ」メンバーの中では年長者で、お兄さん的な立
c30368	v11179	吾妻 夏彦	https://x.com/norn9_anime/status/684284013272412160	手入力	紹介らしい ｜ 【キャラ紹介】吾妻夏彦（CV小野大輔）「過程に興味はない。語るなら結果で語れ」ある理由で、ノルンの能力者の命を狙う外部の
c30369	v11179	二条 朔也	https://x.com/norn9_anime/status/682540771271036928	手入力	紹介らしい ｜ 【キャラ紹介】二条朔也（CV斎賀みつき）「大丈夫。忘れてないよ、あの約束のことは」物腰が柔らかく、女性に対して常に紳士的
c30370	v11179	加賀見 一月	https://x.com/norn9_anime/status/682867625957789696	手入力	紹介らしい ｜ 【キャラ紹介】加賀見一月（CV遊佐浩二）「何なら、今夜から俺が添い寝してあげようか？」幼少の頃から色街に育ち、女性に囲ま
c30371	v11179	宿史 暁人	https://x.com/norn9_anime/status/684657820579397632	手入力	紹介らしい ｜ 【キャラ紹介】宿吏暁人（CV杉山紀彰）「俺に気安くはなしかけんじゃねえよ」怒りっぽく、常に不機嫌な表情を浮かべている気難
c30372	v11179	室星 ロン	https://x.com/norn9_anime/status/682149063114924032	手入力	紹介らしい ｜ 【キャラ紹介】室星ロン（CV杉田智和）「そうなの？昼寝してたんだ」怪しげな風貌の持ち主で、そのサングラスに隠された眼も相
c30373	v11179	乙丸 平士	https://x.com/norn9_anime/status/681754247885504512	手入力	紹介らしい ｜ 【キャラ紹介】乙丸平士（CV吉野裕行）「みんなー、ミーティングルームに集合―！」元気で活発、裏表がなく人懐っこい性格で、
c44174	v11179	鈴原 空汰	https://x.com/norn9_anime/status/683206138251231232	手入力	紹介らしい ｜ 【キャラ紹介】鈴原空汰（CV阿部 敦）「この船、おかしいよ…」平成の時代からタイムスリップしてきた少年。メンバーと一緒に
c26420	v11472	九十九丸	https://x.com/Rejet_info/status/1986448491019985217	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日11/7は九十九丸(剣が君)のお誕生日です🎂おめでとうございます！#剣が君#九十九
c26422	v11472	螢	https://x.com/Rejet_info/status/2040081905136374251	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日4/4は螢(剣が君)のお誕生日です🎂おめでとうございます！#剣が君#螢生誕祭#リジ
c26426	v11472	縁	https://x.com/Rejet_info/status/2083206057225277909	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日8/1は縁(剣が君)のお誕生日です🎂おめでとうございます！#剣が君#縁生誕祭#リジ
c26427	v11472	鷺原 左京	https://x.com/Rejet_info/status/2015077127948017910	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日1/25は鷺原左京(剣が君)のお誕生日です🎂おめでとうございます！#剣が君#鷺原左
c26428	v11472	鈴懸	https://x.com/Rejet_info/status/1972677757483291042	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日9/30は鈴懸(剣が君)のお誕生日です🎂おめでとうございます！#剣君#鈴懸生誕祭#
c26429	v11472	黒羽 実彰	https://x.com/Rejet_info/status/2066173825864327666	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日6/15は黒羽実彰(剣が君)のお誕生日です🎂おめでとうございます！#剣が君#黒羽実
c26996	v11636	ニ宮 真琴	https://x.com/st_louis_high/status/1054387146738618368	unique	紹介らしい ｜ 【祝】今日10月23日は二宮真琴（CV:江口拓也）の誕生日です！二宮副会長、おめでとうございます！【書記】#storml
c26997	v11636	一本松 ヤマト	https://x.com/st_louis_high/status/1061272524586213378	full	紹介らしい ｜ 【祝】今日11月11日は一本松ヤマト（CV:島﨑信長）の誕生日です！一本松会長、おめでとうございます！【書記】#stor
c33351	v12714	周瑜	https://x.com/juza_otomate/status/1519496628016582657	full	紹介らしい ｜ 【登場人物・八】周瑜（しゅうゆ）　CV.#森田成一　※十三支演義2でのみ攻略可荊州最後の猫族。幼い時に両親を亡くし、自暴
c33352	v12714	諸葛亮	https://x.com/juza_otomate/status/1519134237257052160	full	紹介らしい ｜ 【登場人物・七】諸葛亮（しょかつりょう）　CV.#櫻井孝宏　※十三支演義2でのみ攻略可世に住み侘びて、荊州にて世捨て人の
c51458	v12807	熊代 大地	https://x.com/colorfulstep_hb/status/457827725978238978	full	紹介らしい ｜ 【製品情報】ドラマＣＤ『放課後colorful＊step～Basketball club』好評発売中！バスケ部員が彼氏と
c51459	v12807	橘 コウ	https://x.com/colorfulstep_hb/status/457827725978238978	full	紹介らしい ｜ 【製品情報】ドラマＣＤ『放課後colorful＊step～Basketball club』好評発売中！バスケ部員が彼氏と
c51460	v12807	佐鷺 遙	https://x.com/colorfulstep_hb/status/457827725978238978	full	紹介らしい ｜ 【製品情報】ドラマＣＤ『放課後colorful＊step～Basketball club』好評発売中！バスケ部員が彼氏と
c21426	v13101	志奴 要	https://x.com/Rejet_info/status/2047329651937399146	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日4/24は志奴要(BAD MEDICINE)のお誕生日です🎂おめでとうございます！
c21427	v13101	凪原 大貴	https://x.com/Rejet_info/status/2002393562844205214	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日12/21は凪原大貴(BAD MEDICINE)のお誕生日です🎂おめでとうございま
c21428	v13101	葛葉 翔	https://x.com/Rejet_info/status/2086829930227331583	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日8/11は葛葉翔(BAD MEDICINE)のお誕生日です🎂おめでとうございます！
c21429	v13101	加修 レム	https://x.com/Rejet_info/status/2056026961802092993	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日5/18は加修レム(BAD MEDICINE)のお誕生日です🎂おめでとうございます
c21430	v13101	柳 遼太	https://x.com/Rejet_info/status/1994421019323588802	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日11/29は柳遼太(BAD MEDICINE)のお誕生日です🎂おめでとうございます
c21431	v13101	東條 海里	https://x.com/Rejet_info/status/2008554147558404331	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日1/7は東條海里(BAD MEDICINE)のお誕生日です🎂おめでとうございます！
c35726	v13994	伊勢屋 惣一郎	https://x.com/MariaCrown_info/status/645418565613391873	full	紹介らしい ｜ トップバッターは伊勢屋惣一郎（CV：佐和真中）です。 pic.twitter.com/dW4T9dLW2A&mdash;
c35727	v13994	朔夜	https://x.com/MariaCrown_info/status/645779320913289216	full	紹介らしい ｜ 皆様こんにちは、MariaCrownです！本日のカウントダウンイラストキャラクターは朔夜（CV：木島宇太）です。 pic
c35728	v13994	大月 忍	https://x.com/MariaCrown_info/status/646139538432102400	full	紹介らしい ｜ 皆様こんにちは、MariaCrownです！本日のカウントダウンイラストキャラクターは大月忍（CV：須賀紀哉）です。 pi
c35729	v13994	神楽屋 彰人	https://x.com/MariaCrown_info/status/646499849110556672	full	紹介らしい ｜ 皆様こんにちは、MariaCrownです！本日のカウントダウンイラストキャラクターは神楽屋彰人（CV：髭内悪太）です。 
c35730	v13994	桜華屋 時雨	https://x.com/MariaCrown_info/status/646863213624037376	full	紹介らしい ｜ 皆様こんにちは、MariaCrownです！本日のカウントダウンイラストキャラクターは桜華屋時雨（CV：ほうでん亭ガツ）で
c24978	v14759	朱音 凜	https://x.com/ayakashigohan/status/2051497119106949252	手入力	手で指定 ｜ DBに朱音凜が3件重複登録されており自動判定不可。CV（友永朱音）が一致する「あやかし編主人公」の紹介ポストを充てた
c24979	v14759	朱音 凜	https://x.com/ayakashigohan/status/2051497119106949252	手入力	手で指定 ｜ DBに朱音凜が3件重複登録されており自動判定不可。CV（友永朱音）が一致する「あやかし編主人公」の紹介ポストを充てた
c24980	v14759	朱音 凜	https://x.com/ayakashigohan/status/2051497119106949252	手入力	手で指定 ｜ DBに朱音凜が3件重複登録されており自動判定不可。CV（友永朱音）が一致する「あやかし編主人公」の紹介ポストを充てた
c24981	v14759	犬嶌 謡	https://x.com/ayakashigohan/status/2046786081916387632	full	紹介らしい ｜ 📢【キャラクター紹介】『あやかしごはん ～おかわりっ！～ for S』犬嶌 謡（CV:#下野紘）「傍にいられるうちに、た
c24982	v14759	犬嶌 詠	https://x.com/ayakashigohan/status/2051859500311998545	full	紹介らしい ｜ 📢【キャラクター紹介】『あやかしごはん ～おかわりっ！～ for S』犬嶌 詠（CV:#梶裕貴）「やっぱりお前と一緒に、
c24983	v14759	伊吹 萩之介	https://x.com/ayakashigohan/status/2047510854871204252	full	紹介らしい ｜ 📢【キャラクター紹介】『あやかしごはん ～おかわりっ！～ for S』伊吹 萩之介（CV:#水島大宙）「見えないっていう
c24984	v14759	花 蘇芳	https://x.com/ayakashigohan/status/2048960404588470554	full	紹介らしい ｜ 📢【キャラクター紹介】『あやかしごはん ～おかわりっ！～ for S』花 蘇芳（CV:#杉山紀彰）「オヤジ、こいつがおれ
c24985	v14759	芹ケ野 真夏	https://x.com/ayakashigohan/status/2052586788581933563	full	紹介らしい ｜ 📢【キャラクター紹介】『あやかしごはん ～おかわりっ！～ for S』芹ケ野 真夏（CV:#興津和幸）「これからたくさん
c24986	v14759	木邑 浅葱	https://x.com/ayakashigohan/status/2054033829011312995	full	紹介らしい ｜ 📢【キャラクター紹介】『あやかしごはん ～おかわりっ！～ for S』木邑 浅葱（CV:#石田彰）「そんなに緊張しないで
c20320	v14908	カルヂィア	https://x.com/CR_otomate/status/790505653223555073	手入力	手で指定 ｜ 【Code：Realize　～祝福の未来～】★愛推しアイコン配布　その①　最高の宝物★ pic.twitter.com/
c20321	v14908	アルセーヌ・ルパン	https://x.com/CR_otomate/status/468694764661899264	手入力	手で指定 ｜ 【Code：Realize ～創世の姫君～】 アルセーヌ・ルパン役　前野智昭 （ http://t.co/MYiunrV
c20321	v14908	アルセーヌ・ルパン	https://x.com/CR_otomate/status/1055042875237355520	full	過去セッション収集ぶんを復元
c20321	v14908	アルセーヌ・ルパン	https://x.com/CR_otomate/status/1055042345337417731	full	過去セッション収集ぶんを復元
c20321	v14908	アルセーヌ・ルパン	https://x.com/CR_otomate/status/1055041964301672449	full	過去セッション収集ぶんを復元
c20321	v14908	アルセーヌ・ルパン	https://x.com/CR_otomate/status/922762383520440321	full	過去セッション収集ぶんを復元
c20322	v14908	エイブラハム・ヴァン・ヘルシング	https://x.com/CR_otomate/status/468695038650621954	手入力	手で指定 ｜ 【Code：Realize ～創世の姫君～】エイブラハム・ヴァン・ヘルシング役　諏訪部順一（ http://t.co/M
c20322	v14908	エイブラハム・ヴァン・ヘルシング	https://x.com/CR_otomate/status/1095263514820730881	full	過去セッション収集ぶんを復元
c20322	v14908	エイブラハム・ヴァン・ヘルシング	https://x.com/CR_otomate/status/1095262920823336960	full	過去セッション収集ぶんを復元
c20322	v14908	エイブラハム・ヴァン・ヘルシング	https://x.com/CR_otomate/status/1095262262812528641	full	過去セッション収集ぶんを復元
c20323	v14908	ヴィクター・フランケンシュタイン	https://x.com/CR_otomate/status/468695329152323584	手入力	手で指定 ｜ 【Code：Realize ～創世の姫君～】ヴィクター・フランケンシュタイン役　柿原徹也（ http://t.co/MY
c20323	v14908	ヴィクター・フランケンシュタイン	https://x.com/CR_otomate/status/1033643652105433088	full	過去セッション収集ぶんを復元
c20323	v14908	ヴィクター・フランケンシュタイン	https://x.com/CR_otomate/status/1033643125745434624	full	過去セッション収集ぶんを復元
c20324	v14908	インピー・バービケーン	https://x.com/CR_otomate/status/468695583339712512	手入力	手で指定 ｜ 【Code：Realize ～創世の姫君～】インピー・バービケーン役　森久保祥太郎（ http://t.co/MYiun
c20324	v14908	インピー・バービケーン	https://x.com/CR_otomate/status/996948779151441920	full	過去セッション収集ぶんを復元
c20324	v14908	インピー・バービケーン	https://x.com/CR_otomate/status/996948415077498880	full	過去セッション収集ぶんを復元
c20325	v14908	サン・ジェルマン	https://x.com/CR_otomate/status/468695878807465984	手入力	手で指定 ｜ 【Code：Realize ～創世の姫君～】サン・ジェルマン役　平川大輔（ http://t.co/MYiunrVisD
c20325	v14908	サン・ジェルマン	https://x.com/CR_otomate/status/1024958991158239232	full	過去セッション収集ぶんを復元
c20325	v14908	サン・ジェルマン	https://x.com/CR_otomate/status/1024958521031290882	full	過去セッション収集ぶんを復元
c37635	v15023	トール・メギンギョルズ	https://x.com/kami_aso/status/1482366992879390724	unique	紹介らしい ｜ 【GAME】Nintendo Switch用ソフト『神々の悪戯 Unite Edition』発売まであと11日。北欧神話
c26872	v15070	カイリ	https://x.com/birth_song_info/status/752803259849449473	full	要確認 ｜ 【ブログ】『死神彼氏シリーズ公式ブログ』を更新しました！「本日7月12日はカイリの誕生日です！」　カイリのSSを掲載！　
c26873	v15070	ナミ	https://x.com/birth_song_info/status/518341529186746368	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日10月4日はナミの誕生日です。イラスト担当のさといさんから、誕生日記念イラストをい
c26873	v15070	ナミ	https://x.com/birth_song_info/status/518053800024997888	full	要確認 ｜ 【ブログ】『死神彼氏シリーズ公式ブログ』を臨時更新しました。「本日、ナミの誕生日です！」さといさんから頂いた、ナミの誕生
c26874	v15070	シュン	https://x.com/birth_song_info/status/532504511395282944	full	要確認 ｜ 【HAPPY BIRTHDAY！】本日11月12日はシュンの誕生日です。公式ブログでは、シュンの誕生日を記念したスマホ用
c26876	v15070	ヨル	https://x.com/birth_song_info/status/1877279143496442053	full	要確認 ｜ 𓏲𓈒⊹¨̮⑅ 𝙷𝚊𝚙𝚙𝚢 𝙱𝚒𝚛𝚝𝚑𝚍𝚊𝚢 𓋜⊹本日1月9日はヨルの誕生日です！おめでとう！🎂🎉#HappyBirthd
